Cluster	Gene	Average_Expression	Percent_Expressed	Description
2	LOC5519809	0.246786632390745	17.4807197943445	dopamine receptor 2
3	LOC5519510	0.227118644067797	19.3220338983051	dopamine receptor 2
5	LOC116612837	0.307228915662651	21.0843373493976	D(2) dopamine receptor A
6	LOC5521027	0.24113475177305	24.113475177305	D(2) dopamine receptor
6	LOC116612837	0.276595744680851	23.4042553191489	D(2) dopamine receptor A
12	LOC5519809	0.333333333333333	27.0833333333333	dopamine receptor 2
12	LOC116612837	0.270833333333333	10.4166666666667	D(2) dopamine receptor A
12	LOC5518471	0.5	43.75	D(2) dopamine receptor A
12	LOC5519510	0.395833333333333	35.4166666666667	dopamine receptor 2
