Cluster	Gene	Average_Expression	Percent_Expressed	Description
2	LOC5518685	0.151670951156812	13.1105398457584	adenosine receptor A3 isoform X1
3	LOC5518685	0.227118644067797	18.3050847457627	adenosine receptor A3 isoform X1
3	LOC5520964	0.176271186440678	10.8474576271186	adenosine receptor A2a
3	LOC5505774	0.128813559322034	11.5254237288136	adenosine receptor A3
13	LOC5518685	0.244444444444444	20	adenosine receptor A3 isoform X1
11	LOC5518685	0.854166666666667	62.5	adenosine receptor A3 isoform X1
14	LOC5518685	0.181818181818182	15.9090909090909	adenosine receptor A3 isoform X1
14	LOC5520964	0.409090909090909	34.0909090909091	adenosine receptor A2a
