animalID,genotype,trial,Tgrasp,method,starvation,assayDate,series,,
MUT5,MUT,7,3.48,pipette,11,7/14/24,2,,
MUT5,MUT,8,4.35,pipette,11,7/14/24,2,,
MUT5,MUT,9,4.35,pipette,11,7/14/24,2,,
MUT5,MUT,10,2.61,pipette,11,7/14/24,2,,
MUT6,MUT,1,4.35,pipette,11,7/14/24,3,,
MUT6,MUT,2,4.35,pipette,11,7/14/24,3,,
MUT6,MUT,3,2.61,pipette,11,7/14/24,3,,
MUT6,MUT,4,3.48,pipette,11,7/14/24,3,,
MUT6,MUT,5,2.61,pipette,11,7/14/24,3,,
MUT6,MUT,6,2.61,pipette,11,7/14/24,3,,
MUT6,MUT,7,4.35,pipette,11,7/14/24,3,,
MUT6,MUT,8,2.61,pipette,11,7/14/24,3,,
MUT6,MUT,9,6.96,pipette,11,7/14/24,3,,
MUT6,MUT,10,4.35,pipette,11,7/14/24,3,,
MUT7,MUT,1,3.48,pipette,11,7/14/24,4,,
MUT7,MUT,2,2.61,pipette,11,7/14/24,4,,
MUT7,MUT,3,3.48,pipette,11,7/14/24,4,,
MUT7,MUT,4,1.74,pipette,11,7/14/24,4,,
MUT7,MUT,5,4.35,pipette,11,7/14/24,4,,
MUT7,MUT,6,2.61,pipette,11,7/14/24,4,,
MUT7,MUT,7,1.74,pipette,11,7/14/24,4,,
MUT7,MUT,8,2.61,pipette,11,7/14/24,4,,
MUT7,MUT,9,2.61,pipette,11,7/14/24,4,,
MUT7,MUT,10,3.48,pipette,11,7/14/24,4,,
